event_ID,event_year,event_time,event_state,latitude,longitude,phase_group,far_part,crew_cat,crew_age,crew_sex,med_certf,total_fatal,probable_cause,acft_make,acft_model,wx_cond,wind_speed,visibility,temperature
20110330X05145,2011,2102,FL,282511N,0081181W,400,121,,52,,CL1,0,Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-ATC personnel - C,BOEING,737-7H4,VMC,14,10,91
20110330X44100,2011,1648,KY,373310N,0823420W,502,135,PLT,50,M,CL2,2,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained - C,CESSNA,310R,IMC,,2,46
20110330X93656,2011,2146,NC,036442N,0795926W,504,135,PLT,50,F,CL1,2,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained - C,BEECH,58,IMC,8,0,43
20110401X24330,2011,2257,AZ,323924N,1143621W,401,121,,,,,0,Aircraft-Aircraft structures-Fuselage-Fuselage main structure-Incorrect service/maintenance - C,BOEING,737,VMC,,,0
20110404X13555,2011,2346,MI,421244N,0832112W,100,121,CPLT,,M,CL1,0,Aircraft-Aircraft systems-Landing gear system-(general)-Incorrect service/maintenance - C,BOMBARDIER INC,CL-600-2B19,VMC,4,10,37
20110404X21934,2011,1225,LA,295923N,0901458W,350,121,,,,,0,Aircraft-Aircraft systems-Indicating/recording systems-Central computers (e.g. EICAS)-Incorrect use/operation,Airbus,A320,IMC,16,6,75
20110406X54825,2011,1343,IA,042244N,0904220W,200,121,CPLT,55,M,CL1,0,Aircraft-Aircraft structures-Fuselage-Fuselage main structure-Damaged/degraded,EMBRAER,EMB-135KL,VMC,18,10,48
20110407X35115,2011,130,SD,452656N,0982518W,300,135,,,,,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C,CESSNA,414A,IMC,14,2,34
20110407X95823,2011,1600,AZ,033300N,0112100W,500,121,CPLT,52,,CL1,0,Aircraft-Aircraft systems-Electrical power system-Electrical pwr sys wiring-Damaged/degraded - C,BOMBARDIER,CL600 2B19,VMC,9,10,79
20110412X23201,2011,6,NY,403821N,0734722W,253,121,CPLT,35,M,CL1,0,Environmental issues-Task environment-Physical workspace-Visibility-Ability to respond/compensate,BOMBARDIER,CRJ,VMC,3,7,54
20110412X23615,2011,127,VA,373030N,0771945W,300,135,PLT,24,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained - C,PIPER,PA-31-350,VMC,14,10,75
20110417X11718,2011,242,MD,384220N,0764440W,404,121,CPLT,56,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Contributed to outcome - C,BOEING,757-2B7,IMC,5,2,57
20110418X12310,2011,700,,355336N,1435218E,401,121,CPLT,54,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,BOEING,777-223,VMC,65,25,-36
20110421X15324,2011,155,AK,055440N,0162590W,402,135,PLT,58,,CL2,0,Aircraft-Aircraft structures-Empennage structure-Spars/ribs (horizontal stab)-Damaged/degraded,PIPER,PA-32-301,VMC,9,10,28
20110426X03427,2011,2025,NY,403823N,0734644W,200,121,CPLT,50,M,CL1,0,Personnel issues-Physical-Impairment/incapacitation-Illness/injury-Cabin crew - C,AIRBUS,A330-323,VMC,6,9,63
20110426X53639,2011,1833,IL,415326N,0873712W,552,121,,,,,0,Aircraft-Aircraft power plant-Engine exhaust-Thrust reverser-Incorrect use/operation - C,BOEING,737-7Q8,IMC,10,2,61
20110427X00228,2011,830,,,,251,121,,,,,0,,BOEING,767 323,,,,0
20110428X00638,2011,100,TX,314826N,1062239W,153,135,PLT,30,M,CL2,0,Environmental issues-Conditions/weather/phenomena-Wind-High wind-Effect on equipment - C,CESSNA,208B,IMC,36,2,79
20110502X93712,2011,1209,FL,255530N,0801539W,350,135,PLT,64,M,CL2,1,Aircraft-Aircraft power plant-(general)-(general)-Failure,BEECH,E18S,VMC,12,10,79
20110502X93814,2011,1817,CA,335633N,1182429W,300,121,CPLT,59,M,CL1,0,Personnel issues-Action/decision-Action-Incorrect action performance-Copilot - F,BOEING,737-823,VMC,8,10,50
20110510X01046,2011,906,MO,395236N,0933826W,402,121,,,,,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - F,AIRBUS,A319,VMC,,,0
20110510X84704,2011,700,MS,033289N,0090591W,251,121,CPLT,36,M,CL2,0,Environmental issues-Physical environment-Runway/land/takeoff/taxi surfa-(general)-Contributed to outcome - C,BOEING,737,,,,0
20110513X41407,2011,2205,GA,333812N,0842541W,250,121,CPLT,52,M,CL1,0,Personnel issues-Action/decision-Action-Unneccessary action-Pilot - C,BOEING,737-732,VMC,8,10,88
20110517X80339,2011,1245,CO,395125N,1044014W,552,121,CPLT,24,M,CL1,0,Aircraft-Aircraft handling/service-Maintenance/inspections-(general)-Inadequate inspection,BEECH,1900D,VMC,7,10,45
20110518X94643,2011,1434,IL,,,300,121,,,,,0,Personnel issues-Action/decision-Action-Forgotten action/omission-ATC personnel - C,EMBRAER,EMB-145LR,VMC,12,10,48
20110523X21948,2011,2120,UT,003710N,1101225W,300,135,PLT,34,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained - C,CESSNA,T207A,VMC,25,10,68
20110525X21312,2011,2250,AZ,345054N,1114718W,552,135,CPLT,32,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained - C,EMBRAER-EMPRESA BRASILEIRA DE,EMB-500,VMC,5,10,82
20110525X42547,2011,1920,NC,362153N,0813447W,402,121,CPLT,57,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,BOEING,757,VMC,,,0
20110525X85612,2011,2013,NC,351117N,0084913W,402,135,PLT,26,M,CL1,4,Not determined-Not determined-(general)-(general)-Unknown/Not determined - C,BEECH,58,VMC,21,10,93
20110603X52158,2011,1105,IL,415853N,0875424W,100,121,CPLT,30,,CL1,0,Aircraft-Aircraft systems-Landing gear system-Brake-Damaged/degraded - C,EMBRAER,EMB-145,VMC,13,10,79
20110607X73034,2011,116,SC,034416N,0795322W,404,121,CPLT,46,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,BOMBARDIER INC,CL600-2D24,VMC,5,10,84
20110607X83931,2011,232,WI,042576N,0875339W,500,121,CPLT,34,,CL1,0,"Aircraft-Aircraft systems-Hydraulic power system-Pump, main-Damaged/degraded - C",BOMBARDIER INC,CL-600-2B19,VMC,7,9,88
20110613X64905,2011,2300,AZ,351152N,0114316W,402,135,,,,,0,Aircraft-Aircraft power plant-Engine (turbine/turboprop)-Reduction gear and shaft-Failure - C,DEHAVILLAND,DHC-6-300,VMC,,,0
20110614X25647,2011,1130,IL,422513N,0087523W,402,135,PLT,28,F,CL2,0,Environmental issues-Conditions/weather/phenomena-Convective weather-Lightning-Effect on equipment - C,BEECH,B200,IMC,13,2,54
20110615X10113,2011,2230,MD,039178N,0763621W,404,121,CPLT,31,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Clear air turbulence-Effect on personnel - C,DE HAVILLAND,DHC8,Unk,,,0
20110615X31614,2011,2110,AK,644836N,1474313W,500,135,,,,,0,Organizational issues-Support/oversight/monitoring-Oversight-Oversight of operation-ATC - F,BEECH,1900C,,,,0
20110615X55541,2011,2200,AK,067550N,0015380W,552,135,PLT,52,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C,DEHAVILLAND,DHC-3T,VMC,7,100,0
20110621X20741,2011,407,GA,333821N,0842541W,300,121,,,,,0,Aircraft-Aircraft power plant-Engine (turbine/turboprop)-Accessory drives-Capability exceeded - C,BOEING,757-232,VMC,,,0
20110621X32040,2011,58,CA,037375N,1222316W,201,121,CPLT,46,M,CL1,0,Aircraft-Aircraft handling/service-Towing and taxiing-(general)-Incorrect use/operation - C,BOEING,757-222,VMC,13,10,63
20110623X81619,2011,1743,MS,302350N,0089340W,300,121,,,,,0,Personnel issues-Action/decision-Action-Incorrect action selection-ATC personnel - C,EMBRAER,EMB-145EP,VMC,10,10,91
20110628X11855,2011,1815,FL,254743N,0801714W,404,121,CPLT,28,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,MCDONNELL DOUGLAS,MD88,VMC,10,10,90
20110629X01453,2011,458,AZ,,,500,121,,,,,0,Environmental issues-Conditions/weather/phenomena-Light condition-Dark-Ability to respond/compensate,MCDONNELL DOUGLAS,DC-9-83(MD-83),,,,0
20110630X70006,2011,1153,WY,425355N,1062756W,550,135,PLT,57,M,CL2,0,Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on personnel - C,PIPER,PA-31-350,VMC,8,10,64
20110701X11957,2011,1915,CA,335620N,1182417W,151,121,CPLT,47,M,CL1,0,Personnel issues-Task performance-Use of equip/info-Use of policy/procedure-Ground crew - C,BOEING,757-222,VMC,,10,0
20110707X73359,2011,30,AK,062580N,0150440W,300,135,PLT,57,M,CL2,0,Environmental issues-Physical environment-Terrain-Rough terrain-Contributed to outcome,DEHAVILLAND,DHC-2 MK 1,VMC,8,25,39
20110711X31810,2011,2316,AK,611238N,1495326W,402,135,PLT,58,,CL2,0,Aircraft-Fluids/misc hardware-Fluids-Fuel-Fluid level - C,CESSNA,U206E,VMC,3,10,66
20110711X41528,2011,2115,AK,603328N,1531821W,402,135,PLT,44,M,CL2,0,Aircraft-Aircraft systems-Lighting system-Exterior lighting-Design - F,PIPER,PA-31-350,VMC,,10,50
20110715X40120,2011,2333,MA,422112N,0071052W,150,121,,,,,0,Personnel issues-Action/decision-Action-Incorrect action performance-Pilot of other aircraft - C,BOMBARDIER,CL600 2D24,VMC,3,10,70
20110718X90609,2011,2025,ME,444141N,0692256W,350,135,PLT,69,M,CL2,0,Aircraft-Aircraft systems-Fuel system-Fuel selector/shutoff valve-Incorrect use/operation - C,CESSNA,U206G,VMC,6,10,84
20110720X51159,2011,1030,,,,551,121,,,,,0,,MCDONNELL DOUGLAS,MD11 - F,,,,0
20110730X60307,2011,558,,393243N,0118105E,401,121,,,F,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Awareness of condition - C,BOEING,747-422,VMC,,,0
20110808X94427,2011,1652,GA,334548N,0084246W,301,121,,,,,0,Aircraft-Aircraft power plant-Engine (turbine/turboprop)-Compressor section-Failure,MCDONNELL DOUGLAS,DC-9-51,VMC,,,0
20110809X50704,2011,1600,IL,415323N,0873715W,504,121,,,,,0,Personnel issues-Action/decision-Action-Incorrect action selection-ATC personnel - C,EMBRAER,EMB-135KL,VMC,5,10,77
20110815X51728,2011,340,AK,006367N,1565925W,402,135,PLT,66,M,CL2,2,Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Low visibility-Effect on operation - C,CESSNA,207,IMC,5,3,54
20110818X61220,2011,1750,AK,064543N,1574123W,552,135,PLT,49,M,CL2,0,Aircraft-Aircraft systems-Landing gear system-Nose/tail landing gear-Damaged/degraded - C,DEHAVILLAND,DHC-2 MK. I(L20A),VMC,,,64
20110822X30734,2011,1710,AK,059241N,1583020W,552,135,PLT,70,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Attain/maintain not possible - C,GRUMMAN,G-44,VMC,5,20,52
20110830X63935,2011,1736,IL,412655N,0903027W,552,121,,,,,0,Aircraft-Aircraft systems-Landing gear system-Landing gear steering system-Malfunction - C,EMBRAER,EMB145,VMC,,,0
20110902X54326,2011,2225,LA,303158N,0091859W,550,121,CPLT,27,,CL1,0,Personnel issues-Experience/knowledge-Experience/qualifications-Total experience w/ equipment-Maintenance personnel - F,BOMBARDIER INC,CL-600-2B19,VMC,11,10,84
20110904X00636,2011,2135,AK,603620N,1643555W,450,135,PLT,24,,CL1,1,Personnel issues-Action/decision-Action-Unneccessary action-Pilot - C,CESSNA,208B,VMC,14,10,46
20110907X15938,2011,1930,,452120N,0754438W,,121,,,,,0,,EMBRAER,EMB-145LR,,,,0
20110912X61152,2011,655,,002100N,0127150E,402,121,CPLT,51,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Contributed to outcome,DOUGLAS,DC-8-62F,IMC,,1,0
20110915X73207,2011,2030,AK,555511N,1592927W,350,135,PLT,46,M,CL2,0,Aircraft-Aircraft power plant-Engine (reciprocating)-(general)-Inoperative - C,CESSNA,U206G,VMC,5,10,0
20110924X03755,2011,330,AK,057417N,1523033W,509,135,PLT,49,M,CL2,1,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained - C,DEHAVILLAND,DHC-3T,VMC,4,10,48
20110927X91721,2011,2237,CO,394459N,0010500W,552,121,,,,,0,Aircraft-Aircraft power plant-Engine (turbine/turboprop)-Compressor section-Capability exceeded,BOEING,757-222,,,,0
20110930X20857,2011,2027,FL,025460N,0801730W,404,121,PLT,52,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Clear air turbulence-Effect on personnel - C,BOEING,737-823,VMC,,,0
20111005X11451,2011,2130,ME,043527N,0685326W,508,135,PLT,56,M,CL2,1,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Lateral/bank control-Not attained/maintained - C,CESSNA,207A,VMC,5,10,46
20111011X01145,2011,1903,GA,334548N,0084246W,301,121,,,,,0,Aircraft-Aircraft power plant-Engine (turbine/turboprop)-Combustion section-Failure,BOEING,757-251,VMC,,,0
20111014X60059,2011,2230,AK,059513N,1543335W,350,135,PLT,27,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Climb rate-Not attained/maintained - C,CESSNA,207A,VMC,4,10,19
20111018X03714,2011,1126,GA,033387N,0842513W,200,121,CPLT,35,M,CL1,0,Aircraft-Aircraft handling/service-Towing and taxiing-Towing-Not specified - C,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,VMC,7,10,57
20111020X14740,2011,48,NY,403823N,0734644W,401,121,KPLT,51,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-(general)-Effect on operation,BOEING,767-2B7,IMC,14,5,63
20111024X74546,2011,2000,MI,422059N,0083336W,350,121,,,,,0,Aircraft-Aircraft power plant-Engine (turbine/turboprop)-Turbine section-Design - F,BOEING,747-451,,,,0
20111027X01810,2011,1915,GA,033453N,0842323W,552,121,,,,,0,Aircraft-Aircraft power plant-Engine bleed air system-Compressor bleed control-Capability exceeded,BOMBARDIER,CL600 2C10,,,,0
20111109X90044,2011,1800,WY,041920N,1044837W,350,135,PLT,46,M,CL2,0,Aircraft-Aircraft structures-Doors-Passenger/crew doors-Incorrect use/operation - C,PIPER,PA-31T,VMC,11,10,36
20111129X93953,2011,450,IL,042952N,0875353W,500,135,OTHR,24,M,CL1,3,Aircraft-Fluids/misc hardware-Fluids-Fuel-Fluid level - C,PIPER,PA-31-350,VMC,9,10,36
20111201X31832,2011,2327,,434020N,0793649W,253,121,,,,,0,,EMBRAER,EMB-145LR,,,,0
20111201X43018,2011,1730,AK,625812N,0156448W,400,135,PLT,49,M,CL2,0,Aircraft-Aircraft systems-Landing gear system-Wheel/ski/float-Failure - C,CESSNA,A185F,VMC,10,10,16
20111204X50348,2011,110,MI,445524N,0844329W,450,135,PLT,29,M,CL1,2,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained - C,PIPER,PA-32-260,IMC,,7,41
20111205X75757,2011,1728,FL,283824N,0081390W,401,135,CPLT,62,M,CL1,0,Aircraft-Aircraft systems-Flight control system-Elevator tab control system-Malfunction - C,CESSNA,560XL,VMC,10,10,73
20111206X05636,2011,353,CA,374345N,1221427W,400,121,CPLT,42,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Clear air turbulence-Effect on personnel - C,BOEING,737-7H4,VMC,6,10,21
20111208X41332,2011,2139,CA,373637N,1222244W,501,121,CPLT,51,,CL2,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Terrain induced turbulence-Effect on equipment - C,BOEING,757-222,VMC,24,10,66
20111209X35527,2011,1407,IL,414645N,0874614W,250,121,,,,,0,Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-ATC personnel - C,BOEING,737-7H4,VMC,4,10,34
20111209X74224,2011,2024,SD,433532N,0096457W,300,135,PLT,54,M,CL1,4,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained - C,CESSNA,421C,VMC,11,10,19
20111213X35101,2011,1800,AK,064198N,1584429W,550,135,PLT,45,M,CL1,0,Aircraft-Aircraft systems-Landing gear system-Main landing gear-Incorrect use/operation - C,PIPER,PA-31-350,IMC,,2,21
20111214X53854,2011,15,GA,333755N,0842559W,150,121,,,,,0,Personnel issues-Action/decision-Action-Incorrect action performance-Pilot of other aircraft - C,BOEING,757-351,VMC,,,0
20111216X94904,2011,1930,AK,059218N,1515531W,350,135,PLT,38,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained - C,CESSNA,U206G,VMC,10,4,0
20111222X21039,2011,1700,AK,066221N,1541653W,250,135,PLT,69,M,CL1,0,Environmental issues-Physical environment-Object/animal/substance-(general)-Contributed to outcome - C,PIPER,PA-31-350,VMC,20,10,0
20111222X22155,2011,1420,AK,595235N,0163107W,450,135,PLT,44,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Attain/maintain not possible,CESSNA,207A,IMC,,1,21
20120105X34138,2011,2137,CO,039451N,1045959W,200,121,,,,,0,Organizational issues-Support/oversight/monitoring-Oversight-Oversight of personnel-Other institution/organization - F,BOEING,737-7H4,IMC,4,10,19
20120118X91324,2012,1200,WV,038221N,0823331W,250,121,CPLT,40,M,CL1,0,Environmental issues-Operating environment-Communication system-Visual communication-Contributed to outcome - C,BOEING,DHC-8-102,VMC,3,10,39
20120123X64443,2012,1039,,,,250,121,,,,,0,,BOEING,777,,,,0
20120126X25043,2012,1615,AK,604330N,0151180W,550,135,PLT,58,M,CL2,0,Environmental issues-Operating environment-Airport facilities/design-Snow removal service/equipment-Contributed to outcome - F,CESSNA,207A,VMC,5,10,12
20120202X55741,2012,2010,AK,061120N,0149300W,551,135,PLT,57,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Not attained/maintained - C,BEECH,99,VMC,4,1,27
20120207X14951,2012,127,TX,033934N,0096212W,401,121,,,,,0,Environmental issues-Conditions/weather/phenomena-Convective weather-Thunderstorm-Awareness of condition - F,EMBRAER,EMB-145LR,,,,0
20120207X34555,2012,5,CA,037378N,1222229W,150,121,CPLT,34,,CL1,0,Personnel issues-Action/decision-Action-Incorrect action performance-Ground crew - C,BOMBARDIER,CL600 2B19,VMC,4,9,61
20120208X70842,2012,1609,NY,404233N,0734947W,350,121,,,M,,0,Aircraft-Aircraft power plant-Engine fuel and control-Fuel oil cooler-Incorrect service/maintenance,BOEING,767,,,,0
20120211X92417,2012,1900,WY,004233N,0104557W,552,135,CPLT,45,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C,LEARJET INC,31A,VMC,11,10,12
20120217X44044,2012,1708,AK,594520N,1545539W,404,121,,,,,0,Personnel issues-Action/decision-Action-Incorrect action performance-Maintenance personnel - F,Embraer,EMB120,VMC,,,0
20120221X03231,2012,2000,OR,453521N,1223620W,300,121,,,,,0,Aircraft-Aircraft power plant-Engine (turbine/turboprop)-(general)-Related maintenance info - F,MCDONNELL DOUGLAS,MD-10-30F,Unk,,,0
20120221X32033,2012,100,MI,042213N,0083335W,500,121,CPLT,46,F,CL1,0,Aircraft-Aircraft systems-Equipment/furnishings-Passenger compartment equip-Not used/operated - F,BOEING,737-832,,,,0
20120224X25922,2011,1745,MN,044524N,0931336W,350,121,CABN,,,,0,Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment - C,AIRBUS INDUSTRIE,A320 211,Unk,11,10,37
20120224X42146,2011,1709,FL,262624N,0008230W,404,121,CPLT,38,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,BOEING,737 7H4,VMC,4,,81
20120225X83831,2012,1325,NV,395711N,1174937W,300,135,PLT,73,M,CL2,0,Environmental issues-Conditions/weather/phenomena-Wind-Windshear-Effect on operation - C,BEECH,S35,VMC,15,10,46
20120229X70237,2012,2030,NE,040108N,0009697W,402,121,CPLT,44,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Clear air turbulence-Effect on operation - C,BOEING,737-7H4,VMC,19,10,46
20120302X00956,2012,906,,472825N,0003315E,400,121,CPLT,47,,CL1,0,Personnel issues-Miscellaneous-(general)-(general)-Passenger - C,BOEING,767,Unk,,,0
20120302X22622,2012,2100,NJ,039180N,0075318W,500,121,CPLT,48,,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,AIRBUS,A321,IMC,6,5,45
20120306X11830,2012,154,AK,061104N,0150116W,500,135,CPLT,37,,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-(general)-Attain/maintain not possible - C,BOMBARDIER LEARJET CORP.,35A,VMC,4,9,14
20120312X00949,2011,1530,CO,395058N,0104422W,150,121,CPLT,37,M,CL2,0,Aircraft-Aircraft systems-Landing gear system-Nose/tail landing gear-Failure - C,BEECH,1900D,,,,0
20120312X10202,2012,1530,CO,039512N,1044158W,150,121,,,,,0,Aircraft-Aircraft systems-Landing gear system-Nose/tail landing gear-Failure - C,BEECH,1900D,,,,0
20120314X70339,2012,1840,AK,055320N,0132612W,400,135,PLT,64,M,CL2,0,Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Below VFR minima-Contributed to outcome,DEHAVILLAND,BEAVER DHC-2,IMC,9,2,36
20120322X25316,2012,1330,OK,036422N,0995321W,402,121,CPLT,42,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Clear air turbulence-Effect on personnel - C,BOEING,737-7H4,VMC,7,10,46
20120409X05702,2012,1608,TX,295839N,0095200W,550,121,CPLT,24,,CL1,0,Organizational issues-Development-Design-Policy/procedure development-Not specified - F,BOMBARDIER INC,DHC-8-402,VMC,9,10,77
20120417X44353,2012,549,CO,038506N,1061644W,404,121,,,,,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Terrain induced turbulence-Effect on personnel - C,AIRBUS INDUSTRIE,A319-132,VMC,,,0
20120504X60304,2012,1600,ID,455633N,0116724W,551,135,PLT,68,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Landing flare-Incorrect use/operation - C,CESSNA,207A,VMC,3,10,54
20120504X62009,2012,1840,AK,060834N,0164175W,500,135,PLT,49,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Light condition-Flat light-Effect on personnel - C,SHORT BROS. & HARLAND,SC7 SERIES 3,VMC,3,10,30
20120509X23741,2012,2045,PR,181847N,0651815W,100,135,PLT,75,M,CL1,0,Aircraft-Aircraft systems-Flight control system-Gust lock or damper-Incorrect use/operation - C,CESSNA,172R,VMC,6,,81
20120511X73555,2012,1753,FL,026427N,0008093W,404,121,PLT,40,M,CL1,0,Aircraft-Aircraft systems-Navigation system-Weather radar system-Incorrect use/operation - F,AIRBUS,A319-112,VMC,,,0
20120514X15148,2012,1805,,143516N,0903151W,550,121,,,,,0,,CONVAIR,440,,,,0
20120523X90729,2012,2212,AK,691312N,1464725W,552,135,PLT,60,M,CL2,0,Aircraft-Aircraft systems-Landing gear system-Brake-Unintentional use/operation - C,DEHAVILLAND,DHC-2 MK. I(L20A),VMC,4,10,63
20120525X43737,2012,2326,AK,062576N,1553615W,500,135,CPLT,53,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Not attained/maintained - C,BEECH,1900C,VMC,,10,0
20120530X64155,2012,1800,IL,415824N,0875412W,153,121,CPLT,27,,CL1,0,Personnel issues-Action/decision-Action-Incorrect action performance-Pilot of other aircraft - C,EMBRAER,EMB 135KL,VMC,9,10,70
20120531X95046,2012,355,KS,385210N,0991838W,150,121,,,M,,0,Aircraft-Aircraft systems-Landing gear system-Nose/tail landing gear-Failure - C,BEECH,1900D,,,,0
20120605X91738,2012,1215,TX,029597N,0952049W,250,135,CPLT,25,M,CL2,0,Aircraft-Aircraft systems-Landing gear system-Brake-Incorrect use/operation - C,SHORT BROS,SHORTS SD3-60,VMC,,10,88
20120607X93407,2012,10,AK,059056N,1614931W,253,135,PLT,37,M,NONE,0,Environmental issues-Operating environment-Airport facilities/design-Taxiway markings/signage-Contributed to outcome,CESSNA,207A,VMC,,10,48
20120608X43116,2012,1616,PA,395228N,0751431W,404,121,CPLT,57,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,BOEING,757 2B7,VMC,15,,0
20120608X75330,2012,2025,AK,592118N,1505020W,552,135,PLT,38,M,CL2,0,Environmental issues-Physical environment-Runway/land/takeoff/taxi surfa-(general)-Contributed to outcome,CESSNA,U206G,VMC,,10,0
20120612X01249,2012,420,MN,445233N,0931311W,500,121,CPLT,51,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,AIRBUS INDUSTRIE,A320-212,IMC,5,3,64
20120613X32202,2012,117,TX,294713N,0094283W,401,121,CPLT,39,,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-(general)-Effect on operation - C,BOEING,737-724,IMC,6,10,77
20120614X42820,2012,315,AK,062210N,0150170W,401,135,PLT,41,M,CL2,0,Aircraft-Aircraft power plant-Engine (reciprocating)-Recip eng cyl section-Failure - C,DEHAVILLAND,DHC-2,VMC,7,10,54
20120620X94522,2012,404,MO,038546N,0923258W,552,135,CPLT,23,M,CL1,0,Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment - C,CESSNA,560,VMC,5,10,73
20120621X34639,2012,2308,NV,404535N,0734239W,350,121,CPLT,54,,CL1,0,Aircraft-Aircraft handling/service-Maintenance/inspections-Unscheduled maint checks-Not installed/available - F,AIRBUS,A320,VMC,11,10,104
20120627X90622,2012,1740,AK,582220N,1353619W,402,135,PLT,45,,CL2,0,Aircraft-Aircraft power plant-Engine (reciprocating)-Recip engine power section-Failure - C,PIPER,PA-32-300,VMC,,10,54
20120703X12440,2012,2315,AK,553628N,1304236W,300,135,PLT,56,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C,DEHAVILLAND,BEAVER DHC-2,VMC,,20,55
20120704X55938,2012,308,,,,990,121,,,,,0,,BOEING,767-323,,,,0
20120705X82945,2012,0,AK,584022N,1563833W,402,135,PLT,70,M,CL2,0,Aircraft-Aircraft structures-Wing structure-Ribs/bulkheads (on wing)-Damaged/degraded,PIPER,PA-32-301,VMC,4,10,48
20120710X32500,2012,306,AK,631352N,1492229W,402,135,PLT,24,M,CL2,0,Aircraft-Aircraft systems-Fuel system-Fuel selector/shutoff valve-Unintentional use/operation - C,DEHAVILLAND,DHC-2,VMC,4,10,55
20120713X01334,2012,522,,354610N,1402256E,400,121,,,,,0,,BOEING,777-222,,,,0
20120719X94744,2012,300,IL,403951N,0894136W,500,121,PLT,24,M,CL1,0,Aircraft-Aircraft systems-Air conditioning system-Cooling sys (air/vapor cycle)-Failure - F,BOMBARDIER INC,CL-600-2C10,VMC,4,10,84
